,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,label,content
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,You still coming tonight?
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,normal,. vitamin_E 'm iodine merely not today surfing Yup surfing lor . inch perusal
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,normal,information_technology information_technology of return kelvin 'll care care return
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,normal,much cleaning for for cleaning cleaning
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,normal,thanks question question sending question ability .. mental this
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,normal,I thought slide is enough.
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,normal,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,fraud,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,fraud,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,normal,"haste Jay no ask iodine Jay , iodine 'll ask Aight"
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,normal,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,normal,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,normal,I love you.
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,normal,Otherwise had part time job na-tuition..
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,normal,angstrom sound ? to like ! endowment many sound week go like would rich_person you date following on
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,normal,Somebody set up a website where you can play hold em using eve online spacebucks
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,normal,"night.busy look ollu.but real_number good ok.varunnathu are street you angstrom the , shall beloved one tonight.things beloved inch to mail sense , shall"
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,normal,consequence when bash you . you know bash know
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,normal,Lol no. Just trying to make your day a little more interesting
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,normal,Ok.ok ok..then..whats ur todays plan
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,normal,Sure. I hope your complaints will have gone till then.
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,normal,"iodine call iodine 'll later , call"
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,normal,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,normal,Dunno to four wreath wide_area_network If ... my eat four four wif iodine eatin then frens bacillus ... ü iodine wreath
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,normal,well gud care .. nyt sleep chikku .. .. nyt Gud
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,normal,oredi to United_States comin comin comin ...
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,normal,What Today-sunday..sunday is holiday..so no work..
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,normal,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,normal,regretful topographic_point tomorrow 've sol sol that bash travel . . regretful regretful truly iodine to not
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,normal,Dai lone exe which after installation . exe exe file iodine download iodine that can run merely there file lone be
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,normal,. time to sir get . yes ’ information_technology board
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,normal,Yes! How is a pretty lady like you single?
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,normal,. hope you . fine 'm are besides fine
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,fraud,! rich_person . our be rich_person attempt out claim message now angstrom 08717507382 wait You . final . important important This message dept run_out contact call
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,normal,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,normal,iodine angstrom two ! have ? Maine iodine drink few ! down better iodine if better get Maine beryllium thats angstrom hmm Indian good roast now
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,normal,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,normal,no .. American information_technology merely to need ... understand little good merely little voice ... experience to
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,normal,:-( that's not v romantic!
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,fraud,"Hello sir, I am talking to the insurance company.  A new offer has come, would you like to take?"
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,normal,Should there head what heterosexual iodine what Oregon
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,normal,"know you when Maine sodium Aight usf 're about you know gon ,"
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,normal,Sanchez while angstrom we minute ( leave we inch Sanchez take ) (
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,normal,meeting year you look to new iodine to try here new busy meeting . for forward
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,normal,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,normal,talk just beryllium . to
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,normal,Am slow in using biola's fne
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,normal,telephone the iodine angstrom and buzzword buzzword iodine please now
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,normal,"Received, understood n acted upon!"
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,normal,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,normal,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,normal,know be know . Prakesh be there
