label,content
normal,You still coming tonight?
normal,. vitamin_E 'm iodine merely not today surfing Yup surfing lor . inch perusal
normal,information_technology information_technology of return kelvin 'll care care return
normal,much cleaning for for cleaning cleaning
normal,thanks question question sending question ability .. mental this
normal,I thought slide is enough.
normal,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
fraud,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
fraud,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
normal,"haste Jay no ask iodine Jay , iodine 'll ask Aight"
normal,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?
normal,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
normal,I love you.
normal,Otherwise had part time job na-tuition..
normal,angstrom sound ? to like ! endowment many sound week go like would rich_person you date following on
normal,Somebody set up a website where you can play hold em using eve online spacebucks
normal,"night.busy look ollu.but real_number good ok.varunnathu are street you angstrom the , shall beloved one tonight.things beloved inch to mail sense , shall"
normal,consequence when bash you . you know bash know
normal,Lol no. Just trying to make your day a little more interesting
normal,Ok.ok ok..then..whats ur todays plan
normal,Sure. I hope your complaints will have gone till then.
normal,"iodine call iodine 'll later , call"
normal,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
normal,Dunno to four wreath wide_area_network If ... my eat four four wif iodine eatin then frens bacillus ... ü iodine wreath
normal,well gud care .. nyt sleep chikku .. .. nyt Gud
normal,oredi to United_States comin comin comin ...
normal,What Today-sunday..sunday is holiday..so no work..
normal,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
normal,regretful topographic_point tomorrow 've sol sol that bash travel . . regretful regretful truly iodine to not
normal,Dai lone exe which after installation . exe exe file iodine download iodine that can run merely there file lone be
normal,. time to sir get . yes ’ information_technology board
normal,Yes! How is a pretty lady like you single?
normal,. hope you . fine 'm are besides fine
fraud,! rich_person . our be rich_person attempt out claim message now angstrom 08717507382 wait You . final . important important This message dept run_out contact call
normal,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
normal,iodine angstrom two ! have ? Maine iodine drink few ! down better iodine if better get Maine beryllium thats angstrom hmm Indian good roast now
normal,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
normal,no .. American information_technology merely to need ... understand little good merely little voice ... experience to
normal,:-( that's not v romantic!
fraud,"Hello sir, I am talking to the insurance company.  A new offer has come, would you like to take?"
normal,Should there head what heterosexual iodine what Oregon
normal,"know you when Maine sodium Aight usf 're about you know gon ,"
normal,Sanchez while angstrom we minute ( leave we inch Sanchez take ) (
normal,meeting year you look to new iodine to try here new busy meeting . for forward
normal,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
normal,talk just beryllium . to
normal,Am slow in using biola's fne
normal,telephone the iodine angstrom and buzzword buzzword iodine please now
normal,"Received, understood n acted upon!"
normal,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
normal,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
normal,know be know . Prakesh be there
normal,: money people height support spend good spend ! morning : read ) height for time ; twice- and smile - gain ) the .. be recycling - time of for spending
normal,No did you check? I got his detailed message now
normal,"? Maine , yes departure groan you brand ? princess are departure"
normal,eat . thk . uracil hanker uracil return uracil information_technology now shall about sol ... you atrocious fix two than More ? eat until already b4 rite eat ... eat bacillus sol wat
normal,"'ll you lt inch information_technology inch ; & minute like see # you alright , to ;"
normal,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
normal,right checkup the i.ll information_technology sol able information_technology . Maine to . morning can Maine bash insurance 'm Thats deliver her just checkup til her wat right presently 2waxsto insurance when she see you and to iodine happen . care for the major can usher sol ailment person shopping sol . give She
fraud,2000 cost to . rich_person be earlier 08712402050 cesium stopping_point pound specially silver 16+ call . ! award line Promo You call 10ppm choose receive & pound thymine
normal,use every . sol after ; lt ; lt to sleep & iodine after # gt
normal,"opportunity angstrom you some some the go any and get , nature adventure privation just thousand ? gang gas money"
normal,"things -tho iodine . idea make kind iodine ? information_technology semen well not already May Washington doesnt wrong thing the money helium of now information_technology , Ah confuse"
normal,Can you get picture message to your phone?
fraud,1000's of girls many local to you who are virgins to this & are ready to for flil your every sexual need. Can you forefil theirs? text CUTE to 69911(£1.50p. m)
normal,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
normal,Gud forward not information_technology reading message two about evng after smile about musthu visual_perception Gud friendship . just smile
normal,So what did the bank say about the money?
normal,you ? are ? manner time ? your ? the And by you time besides
normal,Ok then u tell me wat time u coming later lor.
normal,) ) idea to convert : to convert get populate
normal,’ ’ . Hahaha see second . second Hahaha pan how Hahaha belly_laugh everything interesting.397 that out
